2023-11-07 20:35:54.302 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2023-11-07 20:35:54.302 [info] Added views:workbench.panel.output in workbench.panel.output
2023-11-07 20:35:54.302 [info] Added views:terminal in terminal
2023-11-07 20:35:54.302 [info] Added views:outline in workbench.view.explorer
2023-11-07 20:35:54.302 [info] Added views:workbench.scm in workbench.view.scm
2023-11-07 20:35:54.302 [info] Added views:workbench.view.search in workbench.view.search
2023-11-07 20:35:54.302 [info] Added views:timeline in workbench.view.explorer
2023-11-07 20:35:54.302 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2023-11-07 20:35:54.449 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-11-07 20:35:54.707 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2023-11-07 20:35:54.826 [info] Added views:~remote.forwardedPorts in ~remote.forwardedPortsContainer
2023-11-07 20:36:34.234 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2023-11-07 20:36:34.235 [info] Removed views:workbench.views.extensions.popular from workbench.view.extensions
2023-11-07 20:36:37.279 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2023-11-07 20:36:37.287 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-11-07 20:37:16.013 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2023-11-07 20:37:16.019 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2023-11-07 20:37:18.009 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2023-11-07 20:37:18.015 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-11-07 20:37:20.480 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2023-11-07 20:37:20.485 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2023-11-07 20:37:23.889 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2023-11-07 20:37:23.919 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-11-07 20:37:27.201 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2023-11-07 20:37:27.207 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2023-11-07 20:37:29.095 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2023-11-07 20:37:29.100 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-11-07 20:37:32.668 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2023-11-07 20:37:32.675 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2023-11-07 20:37:35.021 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2023-11-07 20:37:35.025 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
